_quality_metrics,cuts_solution_pool,name,cuts_MIR,cuts_disjunctive,cuts_implied_bound,cuts_fractional,cuts_lift_and_project,cuts_GUB_cover,cuts_clique,cuts_flow_path,cuts_cover,_n_iterations,variables_user,variables,_n_nodes_processed,cuts_RLT,_dettime,_best_bound,cuts_zero_half,variables_integer,_miprelgap,cuts_benders,_solve_status,linear_relaxation,exception,cuts_user,cuts_flow_cover,cuts_local_implied_bound,variables_binary,_linear_nonzeros,cuts_table,_ncolumns,_solve_status_code,constraints,_time,_problem_type,variables_continuous,cuts_multi_commodity_flow,cuts_BQP,objective_value
{},0,dr_bf_m:19n-76m-EON19_10_3_26_0.5,23,0,0,33,0,0,51,0,117,2041,2656,2656,0,0,347.3188772201538,39.0,41,16,0.0,0,integer optimal solution,19.583333333333332,,0,1,0,2640,27904,0,2656,101,5402,0.4982590675354004,MILP,0,32,0,39.0
{},0,dr_aov_m:30n-112m-Spain_100_30_24_0.2,36,0,4,19,0,0,93,0,177,3546,3278,3278,0,0,369.08185863494873,41.0,61,10,0.0,0,integer optimal solution,17.53174603174603,,0,3,0,3268,19844,0,3278,101,4650,0.5717601776123047,MILP,0,37,0,41.0
{},0,dr_bf_f:6n-9m-n6s9_100_50_12_0.5,3,0,2,4,1,0,0,0,6,99,164,164,0,0,18.82221794128418,13.0,2,80,0.0,0,integer optimal solution,4.75,,0,3,0,84,1396,0,164,101,326,0.06345605850219727,MILP,0,6,0,13.0
{},0,dr_bf_f:24n-86m-UBN24_10_5_14_0.2,33,0,5,9,0,0,0,1,11,9563,528,528,369,0,293.03119468688965,26.0,65,264,0.0,0,integer optimal solution,10.625,,0,50,0,264,3630,0,528,101,855,0.44390392303466797,MILP,0,9,0,26.0
{},0,dr_aov_m:10n-44m-SmallNet_100_30_28_0.5,15,0,9,21,0,0,12,0,121,1630,1782,1782,0,0,162.9697961807251,32.0,70,20,0.0,0,integer optimal solution,20.333333333333336,,0,1,0,1762,23976,0,1782,101,6680,0.2622489929199219,MILP,0,0,0,32.0
{},0,dr_bf_m:28n-68m-EON_100_30_16_1.0,0,0,0,0,0,0,0,0,0,239,2448,2448,0,0,619.9231948852539,77.0,1,32,0.0,0,integer optimal solution,77.0,,0,0,0,2416,86256,0,2448,101,18008,0.6084568500518799,MILP,0,0,0,77.0
{},0,dr_aov_m:28n-82m-EURO28_100_50_10_1.0,0,0,5,0,0,0,0,0,0,132,1750,1750,0,0,81.69298362731934,40.0,2,20,0.0,0,integer optimal solution,40.0,,0,0,0,1730,40220,0,1750,101,12190,0.09262895584106445,MILP,0,0,0,40.0
{},0,dr_bf_m:28n-68m-EON_30_15_8_0.2,2,0,1,7,0,0,65,0,23,237,614,614,0,0,16.939231872558594,14.0,7,2,0.0,0,integer optimal solution,3.875,,0,0,0,612,1704,0,614,101,294,0.03592395782470703,MILP,0,16,0,14.0
{},0,dr_aov_m:22n-70m-British-telecom_100_10_62_0.2,75,0,2,24,0,0,247,0,438,7210,5060,5060,0,0,919.96755027771,86.0,279,18,0.0,0,integer optimal solution,23.64642857142857,,0,5,0,5042,38886,0,5060,101,9572,1.0383789539337158,MILP,0,0,0,86.0
{},0,dr_ob_f:20n-78m-EON20_10_1_78_0.5,216,0,10,47,12,0,0,4,68,91024,4732,4732,2952,0,28998.520705223083,135.0,164,2054,0.0,0,integer optimal solution,69.08333333333333,,0,218,0,2678,262314,0,4732,101,53625,58.750426054000854,MILP,0,0,0,135.0
{},0,dr_bf_f:14n-42m-NSF_100_50_12_0.5,3,0,1,16,0,0,0,1,12,121,356,356,0,0,25.75268268585205,17.0,10,176,0.0,0,integer optimal solution,7.25,,0,15,0,180,3220,0,356,101,742,0.039354801177978516,MILP,0,12,0,17.0
{},0,dr_aov_f:21n-78m-UKNet_100_10_74_0.5,187,0,19,45,20,2,2,3,85,46983,4550,4550,1498,0,11649.227948188782,124.0,119,2000,0.0,0,integer optimal solution,59.16666666666667,,0,177,0,2550,241900,0,4550,101,72725,20.15157413482666,MILP,0,0,0,124.0
{},0,dr_aov_f:20n-78m-EON20_10_1_78_1.0,2,0,10,1,0,0,0,0,0,1316,18330,18330,0,0,8452.14884185791,186.0,278,6240,0.0,0,integer optimal solution,186.00000000000009,,0,0,0,12090,2366988,0,18330,101,710502,12.472004890441895,MILP,0,0,0,186.0
{},0,dr_aov_m:15n-46m-NSF_100_30_20_0.5,9,0,7,12,0,0,36,0,82,1019,1298,1298,0,0,127.20474624633789,33.0,76,14,0.0,0,integer optimal solution,21.25,,0,0,0,1284,12770,0,1298,101,3534,0.15614819526672363,MILP,0,0,0,33.0
{},0,dr_aov_m:30n-112m-Spain_10_5_14_0.2,21,0,1,26,0,0,69,0,153,984,1916,1916,0,0,113.54122066497803,28.0,71,6,0.0,0,integer optimal solution,11.166666666666666,,0,0,0,1910,8412,0,1916,101,1770,0.2560241222381592,MILP,0,31,0,28.0
{},0,dr_ob_f:21n-70m-SpanishTelefonica_10_3_22_0.2,57,0,4,13,0,0,0,4,22,7918,576,576,292,0,352.60029697418213,31.0,35,284,0.0,0,integer optimal solution,11.0,,0,78,0,292,5340,0,576,101,1218,0.45186901092529297,MILP,0,19,0,31.0
{},0,dr_ob_f:21n-78m-UKNet_10_5_14_0.2,4,0,0,13,2,0,0,0,14,153,316,316,0,0,15.902070999145508,15.0,6,158,0.0,0,integer optimal solution,4.4,,0,13,0,158,1410,0,316,101,359,0.3008251190185547,MILP,0,4,0,15.0
{},0,dr_ob_m:43n-176m-EuroLarge_30_9_26_0.2,77,0,2,8,1,0,104,0,359,8871,5296,5296,0,0,1141.5631294250488,44.0,159,4,0.0,0,integer optimal solution,10.314285714285713,,0,4,0,5292,25012,0,5296,101,3948,1.624143123626709,MILP,0,62,0,44.0
{},0,dr_aov_f:22n-70m-British-telecom_100_30_20_0.2,30,0,2,13,1,0,0,0,20,710,580,580,0,0,98.7185697555542,27.0,35,288,0.0,0,integer optimal solution,12.107142857142858,,0,48,0,292,5336,0,580,101,1636,0.12570786476135254,MILP,0,0,0,27.0
{},0,dr_bf_f:6n-9m-n6s9_30_3_60_0.2,49,0,22,31,1,0,3,2,57,1285,714,714,51,0,508.53367805480957,60.0,14,280,0.0,0,integer optimal solution,19.75,,0,68,0,434,17626,0,714,101,3731,0.6740179061889648,MILP,0,0,0,60.0
{},0,dr_ob_f:30n-112m-Spain_100_50_14_0.5,45,0,0,9,5,0,0,0,10,2208,1145,1145,0,0,456.6268196105957,32.0,26,565,0.0,0,integer optimal solution,16.25,,0,26,0,580,13470,0,1145,101,2970,0.7056088447570801,MILP,0,20,0,32.0
{},0,dr_aov_f:19n-76m-EON19_10_3_26_0.5,36,0,13,25,5,0,2,0,26,953,1288,1288,0,0,247.52646350860596,39.0,57,624,0.0,0,integer optimal solution,18.083333333333332,,0,51,0,664,23744,0,1288,101,7160,0.34148097038269043,MILP,0,0,0,39.0
{},0,dr_bf_m:22n-70m-British-telecom_10_5_12_1.0,8,0,0,2,0,0,0,0,0,176,1836,1836,0,0,347.11885833740234,43.0,7,24,0.0,0,integer optimal solution,42.0,,0,2,0,1812,49740,0,1836,101,10434,0.7199151515960693,MILP,0,0,0,43.0
